month	announcement	bug	document	enhancement	middleware	not bug	on hold	stale	test	triage	v4.4
2022-01	0	0	0	0	0	0	0	0	0	0	0
2022-02	0	0	0	0	0	0	0	0	0	0	0
2022-03	0	0	0	0	0	0	0	0	0	0	0
2022-04	0	0	0	0	0	0	0	0	0	0	0
2022-05	0	0	0	0	0	0	0	0	0	0	0
2022-06	0	0	0	0	0	0	0	0	0	0	0
2022-07	0	0	0	1	0	0	0	0	0	0	0
2022-08	0	0	0	1	0	0	0	0	0	0	0
2022-09	0	0	0	2	0	0	0	0	0	0	0
2022-10	0	0	0	0	0	0	0	0	0	0	0
2022-11	0	0	0	1	0	0	0	0	0	0	0
2022-12	0	0	0	0	0	0	0	0	0	0	0
2023-01	0	0	0	4	0	0	0	0	0	0	0
2023-02	0	0	0	0	0	0	0	0	0	0	0
2023-03	0	0	0	0	0	0	0	0	0	0	0
2023-04	0	0	0	0	0	0	0	0	0	0	0
2023-05	0	0	0	0	0	0	0	0	0	0	0
2023-06	0	0	0	1	0	0	0	0	0	0	0
2023-07	0	0	0	0	0	0	0	0	0	0	0
2023-08	0	6	0	9	0	0	0	0	0	0	0
2023-09	0	21	0	13	0	0	0	0	1	0	0
2023-10	0	19	0	9	0	0	0	0	0	0	0
2023-11	0	22	0	12	1	0	0	0	0	0	0
2023-12	0	21	2	10	0	0	1	0	0	0	0
2024-01	0	43	0	27	1	0	0	0	0	0	0
2024-02	1	28	0	14	0	0	0	0	0	0	0
2024-03	0	22	0	16	0	0	1	0	0	0	0
2024-04	0	23	0	10	0	0	0	0	0	0	0
2024-05	0	31	0	21	0	0	1	0	0	0	1
2024-06	0	36	0	20	0	0	0	0	1	0	0
2024-07	0	18	0	12	0	0	0	0	0	12	0
2024-08	0	3	0	3	0	8	0	0	0	20	0
2024-09	0	4	0	9	0	10	0	0	0	15	0
2024-10	0	8	0	5	0	8	0	0	0	8	0
2024-11	0	5	0	5	1	21	0	15	0	6	0
2024-12	0	5	1	4	0	7	0	4	0	10	0
2025-01	0	5	0	2	0	6	0	4	0	7	0
2025-02	0	1	0	2	0	13	0	9	0	6	0
2025-03	0	4	0	7	0	15	0	4	0	6	0
2025-04	0	2	0	4	0	9	0	5	0	10	0
2025-05	0	3	0	0	0	4	0	2	0	9	0
2025-06	0	5	0	10	0	4	0	2	0	5	0
2025-07	0	5	1	4	0	6	0	1	0	9	0
2025-08	0	1	0	4	0	1	0	0	0	2	0
2025-09	0	0	0	4	0	2	0	1	0	5	0
2025-10	0	1	0	1	0	1	0	1	0	2	0
