時間,総数,closed,merged,draft,open
2021-12-14T20:06:20Z,1,0,1,0,0
2021-12-17T06:53:25Z,2,0,2,0,0
2021-12-20T00:32:46Z,3,0,3,0,0
2021-12-20T01:19:35Z,4,0,4,0,0
2021-12-20T02:20:41Z,5,0,5,0,0
2021-12-27T16:04:40Z,6,0,6,0,0
2021-12-29T13:57:31Z,7,0,7,0,0
2021-12-29T14:42:10Z,8,0,8,0,0
2022-01-01T06:30:39Z,9,0,9,0,0
2022-01-01T14:31:33Z,10,0,10,0,0
2022-01-02T13:01:02Z,11,0,11,0,0
2022-01-02T13:45:39Z,12,0,12,0,0
2022-01-02T17:35:23Z,13,0,13,0,0
2022-01-03T09:11:02Z,14,0,14,0,0
2022-01-03T15:04:05Z,15,0,15,0,0
2022-01-03T22:01:53Z,16,0,16,0,0
2022-01-03T22:43:41Z,17,0,17,0,0
2022-01-05T09:40:50Z,18,0,18,0,0
2022-01-05T13:28:47Z,19,0,19,0,0
2022-01-05T18:22:07Z,20,0,20,0,0
2022-01-05T20:10:18Z,21,0,21,0,0
2022-01-06T05:59:05Z,22,0,22,0,0
2022-01-07T01:59:30Z,23,0,23,0,0
2022-01-07T08:18:10Z,24,0,24,0,0
2022-01-08T04:32:26Z,25,0,25,0,0
2022-01-08T04:45:53Z,26,0,26,0,0
2022-01-08T20:30:43Z,27,0,27,0,0
2022-01-08T21:04:12Z,28,0,28,0,0
2022-01-08T21:51:45Z,29,0,29,0,0
2022-01-09T12:09:26Z,30,0,30,0,0
2022-01-09T12:46:03Z,31,0,31,0,0
2022-01-09T15:02:50Z,32,0,32,0,0
2022-01-10T02:25:56Z,33,0,33,0,0
2022-01-10T14:29:11Z,34,0,34,0,0
2022-01-11T13:07:45Z,35,0,35,0,0
2022-01-12T00:16:52Z,36,0,36,0,0
2022-01-12T14:16:30Z,37,0,37,0,0
2022-01-12T17:25:13Z,38,0,38,0,0
2022-01-12T18:45:08Z,39,0,39,0,0
2022-01-16T12:33:50Z,40,0,40,0,0
2022-01-16T12:51:46Z,41,0,41,0,0
2022-01-18T16:32:48Z,42,0,42,0,0
2022-01-18T16:43:24Z,43,0,43,0,0
2022-01-19T00:32:33Z,44,0,44,0,0
2022-01-19T09:21:23Z,45,0,45,0,0
2022-01-19T12:27:19Z,46,0,46,0,0
2022-01-20T14:11:24Z,47,0,47,0,0
2022-01-21T04:48:14Z,48,0,48,0,0
2022-01-21T12:59:35Z,49,0,49,0,0
2022-01-21T13:33:02Z,50,0,50,0,0
2022-01-24T14:41:26Z,51,0,51,0,0
2022-01-25T01:42:58Z,52,0,52,0,0
2022-01-26T12:42:47Z,53,0,53,0,0
2022-01-26T13:10:17Z,54,0,54,0,0
2022-01-26T23:56:37Z,55,1,54,0,0
2022-01-27T00:08:08Z,56,1,55,0,0
2022-01-27T00:41:15Z,57,1,56,0,0
2022-01-27T00:48:59Z,58,1,57,0,0
2022-01-28T03:26:24Z,59,1,58,0,0
2022-01-29T00:27:08Z,60,1,59,0,0
2022-01-29T01:29:54Z,61,1,60,0,0
2022-01-30T02:30:35Z,62,1,61,0,0
2022-01-30T08:41:20Z,63,1,62,0,0
2022-01-30T08:56:30Z,64,1,63,0,0
2022-01-31T21:00:51Z,65,1,64,0,0
2022-01-31T21:50:04Z,66,1,65,0,0
2022-02-01T10:17:35Z,67,1,66,0,0
2022-02-01T23:38:26Z,68,1,67,0,0
2022-02-02T00:29:48Z,69,1,68,0,0
2022-02-02T08:52:20Z,70,1,69,0,0
2022-02-02T22:50:43Z,71,1,70,0,0
2022-02-03T13:10:32Z,72,1,71,0,0
2022-02-03T21:29:57Z,73,1,72,0,0
2022-02-03T23:00:23Z,74,1,73,0,0
2022-02-04T14:35:40Z,75,1,74,0,0
2022-02-04T15:27:31Z,76,1,75,0,0
2022-02-05T13:00:15Z,77,2,75,0,0
2022-02-05T13:20:26Z,78,2,76,0,0
2022-02-05T14:29:54Z,79,2,77,0,0
2022-02-07T07:16:02Z,80,2,78,0,0
2022-02-07T20:52:55Z,81,2,79,0,0
2022-02-08T13:58:20Z,82,2,80,0,0
2022-02-09T13:50:51Z,83,2,81,0,0
2022-02-09T14:09:20Z,84,2,82,0,0
2022-02-10T00:57:53Z,85,2,83,0,0
2022-02-12T05:44:35Z,86,2,84,0,0
2022-02-14T03:31:06Z,87,2,85,0,0
2022-02-15T07:51:10Z,88,2,86,0,0
2022-02-15T23:10:04Z,89,2,87,0,0
2022-02-16T01:49:43Z,90,2,88,0,0
2022-02-17T12:13:00Z,91,2,89,0,0
2022-02-17T12:41:34Z,92,2,90,0,0
2022-02-17T23:27:02Z,93,2,91,0,0
2022-02-20T05:47:32Z,94,2,92,0,0
2022-02-20T10:59:42Z,95,2,93,0,0
2022-02-20T13:40:59Z,96,2,94,0,0
2022-02-21T14:23:52Z,97,2,95,0,0
2022-02-22T12:23:05Z,98,2,96,0,0
2022-02-23T00:31:10Z,99,2,97,0,0
2022-02-23T00:57:05Z,100,2,98,0,0
2022-02-25T01:03:31Z,101,2,99,0,0
2022-02-25T23:31:48Z,102,2,100,0,0
2022-02-26T08:32:04Z,103,2,101,0,0
2022-02-26T13:23:58Z,104,2,102,0,0
2022-02-28T12:53:57Z,105,2,103,0,0
2022-02-28T16:33:23Z,106,2,104,0,0
2022-03-01T19:05:06Z,107,2,105,0,0
2022-03-04T07:38:22Z,108,2,106,0,0
2022-03-05T00:39:12Z,109,2,107,0,0
2022-03-05T14:45:26Z,110,2,108,0,0
2022-03-08T10:06:47Z,111,2,109,0,0
2022-03-09T04:46:22Z,112,2,110,0,0
2022-03-09T07:03:12Z,113,2,111,0,0
2022-03-10T06:42:56Z,114,2,112,0,0
2022-03-10T22:54:50Z,115,2,113,0,0
2022-03-11T22:30:30Z,116,2,114,0,0
2022-03-11T23:02:32Z,117,2,115,0,0
2022-03-14T12:24:17Z,118,2,116,0,0
2022-03-16T09:36:16Z,119,2,117,0,0
2022-03-16T09:39:38Z,120,2,118,0,0
2022-03-19T13:14:17Z,121,2,119,0,0
2022-03-27T11:14:14Z,122,2,120,0,0
2022-03-27T11:51:13Z,123,2,121,0,0
2022-03-27T11:53:27Z,124,3,121,0,0
2022-03-27T13:42:36Z,125,3,122,0,0
2022-03-29T05:46:25Z,126,3,123,0,0
2022-03-30T00:57:16Z,127,3,124,0,0
2022-04-01T09:46:43Z,128,3,125,0,0
2022-04-02T05:31:27Z,129,3,126,0,0
2022-04-02T06:16:55Z,130,3,127,0,0
